--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:45:11.889 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:11.909 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:11.909 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:11.909 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.019 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.039 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.039 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:12.059 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.059 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.079 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.079 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.079 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.199 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.199 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.199 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:12.239 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.239 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.249 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.249 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.249 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.369 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.369 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.379 I/SimpleVideoView(11913): ---draw_on_canvas ED
12-15 11:45:12.390 I/libframegrabber(11913): ---avcodec_decode_video2 ED
12-15 11:45:12.390 I/libframegrabber(11913): ---sws_scale ST
12-15 11:45:12.410 I/libframegrabber(11913): ---av_read_frame ST
12-15 11:45:12.410 I/libframegrabber(11913): ---av_read_frame ED
12-15 11:45:12.410 I/libframegrabber(11913): ---avcodec_decode_video2 ST
12-15 11:45:12.520 I/libframegrabber(11913): ---sws_scale ED
12-15 11:45:12.530 I/SimpleVideoView(11913): ---draw_on_canvas ST
12-15 11:45:12.530 I/SimpleVideoView(11913): ---draw_on_canvas ED
