--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.319 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.319 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:51.439 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:51.449 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:51.459 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:51.509 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:51.519 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:51.529 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.529 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.529 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:51.669 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:51.669 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:51.669 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:51.719 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:51.719 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:51.739 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.739 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.739 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:51.859 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:51.859 I/SimpleVideoView(11974): ---draw_on_canvas ST
12-15 11:51:51.869 I/SimpleVideoView(11974): ---draw_on_canvas ED
12-15 11:51:51.909 I/libframegrabber(11974): ---avcodec_decode_video2 ED
12-15 11:51:51.919 I/libframegrabber(11974): ---sws_scale ST
12-15 11:51:51.929 I/libframegrabber(11974): ---av_read_frame ST
12-15 11:51:51.929 I/libframegrabber(11974): ---av_read_frame ED
12-15 11:51:51.929 I/libframegrabber(11974): ---avcodec_decode_video2 ST
12-15 11:51:52.059 I/libframegrabber(11974): ---sws_scale ED
12-15 11:51:52.059 I/SimpleVideoView(11974): ---draw_on_canvas ST
