--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:03:33.061 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.061 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.101 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.101 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.111 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.111 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.111 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:33.231 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:33.241 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.241 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.241 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.241 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.251 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.251 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.251 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:33.391 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:33.391 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.391 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.431 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.431 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.442 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.442 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.442 I/libframegrabber(11612): ---avcodec_decode_video2 ST
12-15 11:03:33.562 I/libframegrabber(11612): ---sws_scale ED
12-15 11:03:33.572 I/SimpleVideoView(11612): ---draw_on_canvas ST
12-15 11:03:33.572 I/SimpleVideoView(11612): ---draw_on_canvas ED
12-15 11:03:33.592 I/libframegrabber(11612): ---avcodec_decode_video2 ED
12-15 11:03:33.592 I/libframegrabber(11612): ---sws_scale ST
12-15 11:03:33.602 I/libframegrabber(11612): ---av_read_frame ST
12-15 11:03:33.602 I/libframegrabber(11612): ---av_read_frame ED
12-15 11:03:33.602 I/libframegrabber(11612): ---avcodec_decode_video2 ST
