--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:57:50.179 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:50.189 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.189 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.189 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:50.299 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:50.299 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:50.299 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.349 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:50.349 I/libframegrabber(12034): ---sws_scale ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ST
12-15 11:57:50.359 I/libframegrabber(12034): ---av_read_frame ED
12-15 11:57:50.359 I/libframegrabber(12034): ---avcodec_decode_video2 ST
12-15 11:57:50.469 I/libframegrabber(12034): ---sws_scale ED
12-15 11:57:50.489 I/SimpleVideoView(12034): ---draw_on_canvas ST
12-15 11:57:50.489 I/SimpleVideoView(12034): ---draw_on_canvas ED
12-15 11:57:50.549 I/libframegrabber(12034): ---avcodec_decode_video2 ED
12-15 11:57:50.549 I/libframegrabber(12034): ---sws_scale ST
