--------- beginning of /dev/log/system
--------- beginning of /dev/log/main
12-15 11:31:21.829 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:21.829 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:21.839 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:21.839 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:21.839 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:21.979 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:21.979 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:21.989 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.019 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.019 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.029 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.029 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.029 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:22.160 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:22.170 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:22.180 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.220 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.220 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.230 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.230 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.230 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:22.350 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:22.360 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:22.370 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.370 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.370 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.380 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.380 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.380 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:22.510 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:22.520 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:22.520 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.560 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.560 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.570 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.570 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.570 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:22.690 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:22.700 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:22.720 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.730 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.730 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.740 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.740 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.740 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:22.870 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:22.880 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:22.880 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:22.920 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:22.920 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:22.930 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:22.930 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:23.070 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:23.070 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:23.080 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:23.120 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:23.130 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:23.140 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:23.140 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:23.140 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:23.251 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:23.251 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:23.271 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:23.311 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:23.311 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:23.321 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:23.321 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:23.321 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:23.451 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:23.451 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:23.451 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:23.501 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:23.501 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:23.511 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:23.511 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:23.511 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:23.641 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:23.651 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:23.651 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:23.671 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:23.671 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:23.691 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:23.691 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:23.691 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:23.821 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:23.821 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:23.821 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:23.861 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:23.861 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:23.881 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:23.881 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:23.881 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.011 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.011 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.021 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:24.041 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.041 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:24.051 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.051 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.051 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.171 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.181 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.202 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:24.232 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.232 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:24.242 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.242 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.242 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.382 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.382 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.382 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:24.432 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.432 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:24.442 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.452 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.452 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.572 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.572 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.582 I/SimpleVideoView(11718): ---draw_on_canvas ED
12-15 11:31:24.612 I/libframegrabber(11718): ---avcodec_decode_video2 ED
12-15 11:31:24.612 I/libframegrabber(11718): ---sws_scale ST
12-15 11:31:24.632 I/libframegrabber(11718): ---av_read_frame ST
12-15 11:31:24.632 I/libframegrabber(11718): ---av_read_frame ED
12-15 11:31:24.632 I/libframegrabber(11718): ---avcodec_decode_video2 ST
12-15 11:31:24.762 I/libframegrabber(11718): ---sws_scale ED
12-15 11:31:24.762 I/SimpleVideoView(11718): ---draw_on_canvas ST
12-15 11:31:24.762 I/SimpleVideoView(11718): ---draw_on_canvas ED
