--------- beginning of /dev/log/main
--------- beginning of /dev/log/system
12-15 11:38:39.466 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.476 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:39.506 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:39.506 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:39.516 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:39.516 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:39.516 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.646 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:39.646 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.656 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:39.686 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:39.686 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:39.696 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:39.696 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:39.696 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.827 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:39.827 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.837 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:39.837 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:39.837 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:39.857 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:39.857 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:39.857 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:39.977 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:39.977 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:39.987 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.017 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.017 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.027 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.027 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.027 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:40.157 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:40.157 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:40.157 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.177 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.177 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.187 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.187 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.187 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:40.307 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:40.317 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:40.327 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.357 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.357 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.367 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.377 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.377 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:40.517 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:40.517 I/SimpleVideoView(11862): ---draw_on_canvas ST
12-15 11:38:40.527 I/SimpleVideoView(11862): ---draw_on_canvas ED
12-15 11:38:40.567 I/libframegrabber(11862): ---avcodec_decode_video2 ED
12-15 11:38:40.567 I/libframegrabber(11862): ---sws_scale ST
12-15 11:38:40.577 I/libframegrabber(11862): ---av_read_frame ST
12-15 11:38:40.577 I/libframegrabber(11862): ---av_read_frame ED
12-15 11:38:40.577 I/libframegrabber(11862): ---avcodec_decode_video2 ST
12-15 11:38:40.717 I/libframegrabber(11862): ---sws_scale ED
12-15 11:38:40.717 I/SimpleVideoView(11862): ---draw_on_canvas ST
